"","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP43_115_X4Y8_2886",0.303213296487601,1.27411229335878,1.34971686009004,1.78061414625698,0,0.131855439121167,1.28907168222372,0.100604396999301,0.0628364372093343,0.150704257234423,0.549366478747998,0.549366478747998,0.945391807630109,0.00367785054574863,1.36159459381887,0.118331679152992,0.367446924862121,0.367446924862121,0.19328428344828,0.607276259115926,0.245640303960204,0.0252071881612802,0.0876173957360324,0.0383612527798493,0.0383612527798493,0.611973284717997,0.0641071609873463,3.72909656123873,0.104299471131528,0.846642652664174,0.0486827507126367,0.360698764724399,0.0485208942933693,0.029373190708015,0.201172037229517,0.123941395866108,0.524230703810943,0.375177349445392
"BaselTMA_SP43_115_X4Y8_2887",0.575399408393574,0.659465278035128,2.07701172935868,2.61388326809554,0.179316339250466,0.268823799429142,1.89782484146094,0.242969352935302,0.298424886618054,2.62440643594624,0.411496706851505,0.411496706851505,0.541059528710906,0.261398926000668,0.0375321476453541,0.135795450396002,0.3243629021548,0.3243629021548,0.397418674367378,1.96574962073334,0.273597569561283,0.250885592158221,0.388135337750318,0.386132034345732,0.386132034345732,0.443063796594307,0.159368349802578,4.67563524493881,0.952123625328917,0.447945990170724,0.231013395484235,0.930496213841164,0,0,0.283717639630231,0.172621248744519,0.73638436355867,0.530204305795232
"BaselTMA_SP43_115_X4Y8_2888",0.477379518621936,0.908991271860692,2.13932903823054,2.74964124797042,0.12961437204996,0.181041771883,1.89251248285989,0.0723328374353555,0.339648250620422,3.04942423361936,0.444590372548098,0.444590372548098,0.582885527504816,0.0737716024134491,0.171651044066667,0.15938142474838,0.499528230146753,0.499528230146753,0.555101376936275,1.67428338633045,0.201843647470491,0.16489300605694,0.0855980790544736,0.252067088718075,0.252067088718075,0.384572917746178,0.123417251528991,4.02843751836904,0.222014298201304,0.415804642348947,0.100911069753259,0.494835572910172,0.07131838783772,0,0.35968207176146,0.229304260930713,0.564511127545701,0.578813228699973
"BaselTMA_SP43_115_X4Y8_2889",0.714852307794528,2.31373004014609,2.10942411374229,2.84230383650872,0.163061608482872,0.61077753813501,2.48456828435015,0,0.0857319880829301,0.185247523992887,1.43894824270246,1.43894824270246,1.92704925607888,0.110772141624274,0.597224000540065,0.220857736869506,0.33462144377573,0.33462144377573,0.653947046782104,1.20658268098181,0.277212353804659,0.201030143248932,0.179988062638208,0.136508209735246,0.136508209735246,0.532029338621021,0.138449075534204,4.98930106959086,0.257079191343544,0.817910596835194,0.169346313793789,0.793579919991179,0.114519730795323,0.053055717562796,0.385488509834254,0.235048037569892,0.805628186444181,0.62340317553538
"BaselTMA_SP43_115_X4Y8_2890",0.411683234734211,1.79515256412351,2.14834030492557,2.80967430628241,0.220415892920677,0.619350809396679,2.17923849857694,0.0324259038771778,0.567067660063015,2.10227585256286,1.45823524243628,1.45823524243628,1.35458339490985,0.111102727635052,1.40644390123265,0.219083307082926,0.494233773579585,0.494233773579585,0.35534960210461,1.39313950784779,0.11186150187006,0.164774027818899,0.116872655810672,0.134343830541831,0.134343830541831,0.550411988113663,0.129953607296004,4.85403014859925,0.188550646568983,0.289922855324802,0.107761297541299,0.592169962758536,0.0872760697337377,0.0655127267605906,0.354533466443158,0.210396678225171,0.693555662691783,0.563418874432263
"BaselTMA_SP43_115_X4Y8_2891",0.410843835265806,1.60725407303294,1.20830341858608,1.70157939271033,0.0742204326993494,0.291605395134177,1.38731538511377,0.162486647799451,0.13006958768708,0.0420864069751879,0.609260556557187,0.609260556557187,1.47032828582478,0.0743019399226833,1.24681693933797,0.232677953759958,0.231174102269431,0.231174102269431,0.290187287841299,0.828057178608013,0.117098757146106,0.0307810155034998,0.120136311476372,0.0249746363085763,0.0249746363085763,0.230047653966858,0.0205967174748556,3.4010843910111,0.0583146959939894,0.324721995654192,0.0430905950338092,0.356200346798252,0.0488461256981657,0.0106854958291316,0.165440518275811,0.0528149816425651,0.423078684722319,0.222261887529637
"BaselTMA_SP43_115_X4Y8_2892",0.806226889404185,2.55348140101982,2.2632937062619,2.82493584348093,0.35186838412635,0.787891636149253,2.54604509893363,0.00274436301457968,0.191364000741825,0.435995997945851,1.07900864689769,1.07900864689769,1.95704985087516,0.123109332857421,0.60993456132501,0.147178741174293,0.253495106374262,0.253495106374262,0.8451249444776,1.25564085551198,0.306785691133067,0.172867226380624,0.286049597163754,0.248984746869351,0.248984746869351,0.561015380961043,0.189071745658638,5.41486072747407,0.369954859195747,0.437444259314926,0.00728036318218846,0.822988203019651,0.203021646680817,0.0425244997573556,0.425309625170569,0.131172861606403,0.863586793849099,0.478306211050774
"BaselTMA_SP43_115_X4Y8_2893",0.245758767605614,0.893095982235222,2.06929018349427,2.60174064719663,0.0423264173769454,0.193456533174453,1.74050437338293,0.0149116574681416,0.51465711263472,3.18759430022509,0.495311395527167,0.495311395527167,0.452699491743198,0.0144480798091888,0.165238560342973,0.0463824614069376,0.263412303103866,0.263412303103866,0.241696710524508,2.00900162349244,0.115990526308187,0.152723185869479,0.0687658903456911,0.285083381573841,0.285083381573841,0.429967021927548,0.0968682775823076,3.72493387629383,0.125331221351808,0.321953263299154,0.0374713851876481,0.344276791029387,0.0472933582321128,0.00631816339998129,0.209203220410954,0.149136091829608,0.420423069295824,0.385076398668406
"BaselTMA_SP43_115_X4Y8_2894",0.241405304167203,0.462322685691761,2.2070407301161,2.80870278674686,0.0585876615372183,0.191459036206811,1.90054699140598,0.0133290443876941,0.599008445151915,2.28833457828161,0.331515182724132,0.331515182724132,0.469803915914961,0,0.110850843954144,0.0648238557438383,0.256946448878571,0.256946448878571,0.296175158494158,2.472723541796,0.100619036887402,0.0915959514315332,0.0697548610061582,0.0449096106406437,0.0449096106406437,0.258468132386942,0.12180581122213,3.57288857067767,0.566768695215203,0.209514486043414,0.307722739940718,0.195592320685399,0.0198318532289152,0.0210495198045439,0.167381849704264,0.191515911342298,0.40082397474763,0.40897314021691
"BaselTMA_SP43_115_X4Y8_2895",0.336592756209465,0.497844781355694,2.10187806717869,2.66854827979383,0.0271598900142443,0.269924936676985,1.61465775039512,0.0322123869563365,0.526836547808414,2.71166734922714,0.301822375695048,0.301822375695048,0.664372112069076,0.0482504223695381,0.201775761370357,0.131719567836909,0.373576948499297,0.373576948499297,0.205065982513185,1.91212889775403,0.117830586218687,0.139187888423194,0.0741298808079587,0.0867389121361244,0.0867389121361244,0.440000714402875,0.0773962125838217,4.29044832296913,0.952123625328917,0.303899661385245,0.323771045207981,0.439848041240695,0,0.0343926264299049,0.0951400160288149,0.150444234225516,0.566476369603534,0.185557897079923
"BaselTMA_SP43_115_X4Y8_2896",0.417715549622754,0.924608614450816,1.60354840134162,2.20543497615139,0.0629421469939139,0.238937478550359,1.30360511023578,0.0992101445294544,1.3406817037925,3.73127917137417,0.602036349318442,0.602036349318442,0.567914223333624,0.13173325542546,0.364232791695712,0.116252739832745,0.363514638289637,0.363514638289637,0.255615431634147,1.28505049461435,0.140654468192896,0.168965660801597,0.0577537666375148,0.517020530148424,0.517020530148424,0.356356255672749,0.144424187150225,4.25062042741311,0.191713158521025,0.419491900535923,0.0112222399611295,0.350446393746044,0.0856245176112738,0.0120477166869704,0.226246925975215,0.157383069753302,0.491675704299893,0.195456741219338
"BaselTMA_SP43_115_X4Y8_2897",0.910751517034639,2.70804616885959,1.95650217368139,2.58262461492665,0.193855085612579,0.56433235825845,2.11051875712503,0.149320974790657,0.00794478643331802,0.34448310440662,2.25512576558621,2.25512576558621,2.09325744887082,0.216917879677096,2.455489737122,0.33949287358757,0.43305755239596,0.43305755239596,0.608124166251901,0.996949700219935,0.200715233588906,0.194358602470052,0.150922122559834,0.0990793733369992,0.0990793733369992,0.550992614847375,0.155452638523995,5.38831893428814,0.337610740253171,0.511457817937192,0.0951179578539937,0.872772884863757,0.153061070214846,0.105502614297515,0.550359068530736,0.0602782205265353,0.81408079966284,0.425187955630274
"BaselTMA_SP43_115_X4Y8_2898",0.178006190635495,0.344337742634829,1.4611926509584,1.94116137806336,0,0.045683613702612,1.05087235255609,0,0.282760224205488,1.89874544278672,0.201978464626562,0.201978464626562,0.318727352460616,0.0155154962791316,0.11981860416926,0.0889977154531525,0.0385017268316126,0.0385017268316126,0.113232690305674,0.933562191738581,0.0162159582588222,0.0281881429316402,0.0831994098911548,0,0,0.253574164134647,0.016650013074157,3.30988174002382,0.00724073225190304,0.109328100159766,0.0712848829682231,0.100030848908041,0.0356031752217384,0.0203853142695429,0.0919092705497757,0.0440806570318465,0.3673709051944,0.290988565560125
"BaselTMA_SP43_115_X4Y8_2899",0.334954705680511,0.828361035648243,2.1915455108488,2.76576658124911,0.0615412293569875,0.0983889989608891,2.01913222119981,0.035664552073702,0.719477238350508,3.37301666024844,0.402207313591406,0.402207313591406,0.366089126296544,0.0533464522614622,0.108988410442352,0.0965911887580757,0.317842540921358,0.317842540921358,0.352226435013831,1.51699188120561,0.158968778606358,0.175296974297164,0.0549631071444684,0.329206608708204,0.329206608708204,0.463724852819484,0.1112258805187,3.44978362886488,0.167089283836083,0.204175304323178,0.0686317910212054,0.424220340390491,0.103271548212955,0.0145392815206271,0.217986074643136,0.200840250367274,0.501757328052409,0.509718104669943
"BaselTMA_SP43_115_X4Y8_2900",0.276227527798325,1.04027996675564,2.17583374047209,2.78975250875466,0.0834331356365761,0.0417776167623004,1.60276113122089,0.0374349754321849,0.308706259699122,2.22961948213013,0.385471948340236,0.385471948340236,0.41151554984318,0.0750672587172743,0.0826041986649497,0.144811032124589,0.366303511492646,0.366303511492646,0.273801010103808,2.61972980708348,0.191754944736421,0.142536178304261,0.0956662832409218,0.242629535083866,0.242629535083866,0.487879869363376,0.128299019411694,3.94346524473215,0.344314881512045,0.152288582439067,0.217473836933041,0.345538434340675,0.0554774407428917,0.0465157797208055,0.305699679978111,0.210536181450505,0.498028285052317,0.383839228686045
