,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP41_186_X5Y4_1179,0.018168846936963436,0.061027160902050126,0.08036807928982234,0.02300188924101606,0.19811581130878086,0.5860034519490998,0.03331476037226744
BaselTMA_SP41_159_X12Y4_1391,0.006046612752540028,0.022737880698528536,0.019978899558332423,0.005662023108003344,0.7887360320408006,0.14311644692965175,0.013722104912143351
BaselTMA_SP41_135_X8Y5_2977,0.1253279132971409,0.13664610191983376,0.15888044240401714,0.18965851682998447,0.14966519760744346,0.1353458444054383,0.10447598353614213
BaselTMA_SP41_165_X5Y6_308,0.050333967032539804,0.09949752279920192,0.7339731497524633,0.040987016804836574,0.0014217707321085493,0.0021688625166811724,0.07161771036216863
BaselTMA_SP41_117_X13Y3_4099,0.0007758452241822657,0.0061780392042995085,0.00196463584754952,0.001190298464750838,0.03262224612558749,0.9546583432658092,0.0026105918678208714
BaselTMA_SP41_117_X13Y3_1932,0.000462156657839857,0.004523041061957334,0.0019172321798602394,0.000923156793515981,0.03323244287376407,0.9569269845018386,0.0020149859312240323
BaselTMA_SP41_14_X1Y8_3119,0.18527431608976805,0.14432175270964165,0.24452739354956302,0.2266819510284916,0.041499690935061166,0.048305829282829525,0.10938906640464485
BaselTMA_SP41_165_X5Y6_1554,0.15849137071020958,0.1340844902910028,0.33057819155750395,0.2364886273271209,0.009010205329291334,0.013295266568802025,0.11805184821606954
BaselTMA_SP41_134_X3Y8_1549,0.14931700559299274,0.13135740542532726,0.21690474423316586,0.3543671766673227,0.0189778431347945,0.017343532987231312,0.11173229195916563
BaselTMA_SP41_177_X16Y5_130,0.17854218158842092,0.3572831538296152,0.1908408842549543,0.11010503613295282,0.060119183796365244,0.07005440360495818,0.03305515679273338
BaselTMA_SP41_126_X14Y7_1090,0.04744443067148075,0.0788163356758859,0.07553935749825458,0.055884830157302876,0.1772383549359943,0.5051677291469316,0.05990896191414978
BaselTMA_SP41_203_X8Y8_2049,0.000374417503462222,0.004130931442298924,0.001216190595048454,0.0006965205928428406,0.0206305361860749,0.9716254773719274,0.0013259263083452817
BaselTMA_SP41_204_X16Y4_238_343,0.06059748279881977,0.09806965838245568,0.11194397412324915,0.0678158217563536,0.1565654944671973,0.4349317778028023,0.07007579066912209
BaselTMA_SP41_206_X1Y2_3145,0.029020603492742634,0.06318077933623807,0.06115252191949578,0.03830032086193451,0.14105376570321193,0.622678484999195,0.044613523687182126
BaselTMA_SP41_141_X11Y2_848,0.12537819207485168,0.13631759276543837,0.17965152759468495,0.26974257808400226,0.11502638328508592,0.05528027651117411,0.11860344968476265
BaselTMA_SP41_11_X13Y7_4100,0.15979762828695995,0.14170415521079707,0.33465952557604833,0.15089369981195194,0.04357117232068932,0.0422937534728222,0.12708006532073127
BaselTMA_SP41_101_X10Y8_1777,0.021528115191474035,0.06973420960190514,0.09229861597904186,0.07109964247991764,0.3180786595287624,0.374620465905117,0.052640291313781916
BaselTMA_SP41_186_X5Y4_783,0.016622492003280358,0.057882254445623,0.06318243819400936,0.023913589927275058,0.1428629356425591,0.6683812522453256,0.027155037541927333
BaselTMA_SP41_186_X5Y4_2069,0.19092828287378788,0.1320585699296518,0.18905024409296625,0.33999112231203443,0.018704932828996365,0.03022245710321126,0.09904439085935202
BaselTMA_SP41_141_X11Y2_2159,0.014801906089510175,0.04537783407909319,0.04342184447642228,0.03333107711274315,0.19350750821441803,0.6370236437921504,0.032536186235662824
