,RTK_signalling,proliferation,mTOR_signalling,apoptosis
BaselTMA_SP41_129_X7Y8_1460,-0.26710686281668994,0.41956775563623727,0.2395556517572052,-0.09191642911465651
BaselTMA_SP41_11_X13Y7_4434,-0.19128772408956457,0.32756861251108144,0.2731193581890356,-0.040850501077058024
BaselTMA_SP41_203_X8Y8_1690,-0.19154409439226303,0.3457351822367908,0.28188386912563346,-0.015416289587088725
BaselTMA_SP41_191_X15Y7_3242,-0.23988162389358852,0.42937334430033147,0.25940050946801035,-0.025732154509143415
BaselTMA_SP41_106_X2Y9_1894,-0.22312358053872627,0.38256446633498664,0.2692478016569306,-0.044880741522446935
BaselTMA_SP41_112_X5Y8_1944,-0.17779465630610392,0.3345462060724286,0.28215796744350286,0.0013306202766575348
BaselTMA_SP41_11_X13Y7_2486,-0.2299745241559873,0.410503903372408,0.27448891545436516,-0.018319870717879203
BaselTMA_SP41_100_X15Y5_2376,-0.19432223850151698,0.3472380837839985,0.28234758533226106,-0.019471945242749547
BaselTMA_SP41_134_X3Y8_1484,-0.214591676579082,0.37238995924810175,0.2771924793269007,-0.03474103880371403
BaselTMA_SP41_14_X1Y8_978,-0.2634250562602112,0.47346701631079546,0.17888652199588168,-0.09227687030908967
BaselTMA_SP41_203_X8Y8_2532,-0.20205713406012843,0.372078102038201,0.2754189766902691,-0.010657477401381121
BaselTMA_SP41_186_X5Y4_1448,-0.28871352593457716,0.45773537710282103,0.19168665141560942,-0.07112014930604003
BaselTMA_SP41_133_X3Y6_3169,-0.18022930733885545,0.2965394515222858,0.28816742978377313,0.04141385458544368
BaselTMA_SP41_126_X14Y7_637,-0.18040377388141549,0.33885216463498186,0.29002181062033033,0.005171348233805231
BaselTMA_SP41_153_X7Y5_316,-0.29164470094480943,0.4654484383012155,0.11176105916130288,-0.08319755080290363
BaselTMA_SP41_100_X15Y5_3182,-0.18241632882829262,0.31655299534204157,0.26310011592877675,-0.039378724550560254
BaselTMA_SP41_104_X8Y4_175_1418,-0.16301592599348744,0.23512930239299018,0.2749021761852194,0.1217119459029269
BaselTMA_SP41_191_X15Y7_4,-0.21616912551169198,0.3778157517836142,0.2812438251102582,-0.028849065969840756
BaselTMA_SP41_126_X14Y7_390,-0.1637900040120692,0.31360186596657186,0.273619913478978,0.002761996314429957
BaselTMA_SP41_135_X8Y5_15,-0.24125654692909243,0.38690320439335857,0.2522507036190308,-0.08578099815507585
BaselTMA_SP41_135_X8Y5_3269,-0.19456529647620924,0.3334755743081671,0.2785130586508012,-0.038389512024297315
BaselTMA_SP41_186_X5Y4_2055,-0.261509782449223,0.4525965755258556,0.195212553706582,-0.06977955567236947
BaselTMA_SP41_166_X15Y4_2203,-0.22876110508618686,0.41170341557564094,0.2646474549388891,-0.02121369896963106
BaselTMA_SP41_100_X15Y5_1530,-0.1670892367452634,0.31164750464932534,0.2683528532414065,-0.009277028095602394
BaselTMA_SP41_186_X6Y4_501,-0.179356580424823,0.33356550175684296,0.2796058232478522,-0.004463129364131124
BaselTMA_SP41_133_X3Y6_3842,-0.20408748423040596,0.25891265941989466,0.2463479494834341,0.05139153665723434
BaselTMA_SP41_14_X1Y8_294,-0.2277489357981627,0.3961372283928074,0.19937404292107447,-0.0664592837391784
BaselTMA_SP41_101_X10Y8_1109,-0.2168006937287595,0.3838935974231152,0.26911305919427925,-0.02878744499011894
BaselTMA_SP41_165_X5Y6_151,-0.18485907053350523,0.33875321421719257,0.2863010128594698,-0.007135228910251465
BaselTMA_SP41_114_X13Y4_1057,-0.1713706314849502,0.2861349098443057,0.25678763482775646,0.20097118934852437
BaselTMA_SP41_141_X11Y2_2596,-0.265983502388251,0.3798059941456952,0.20549853656814004,-0.0062006009852069305
BaselTMA_SP41_100_X15Y5_170,-0.18310333722627678,0.3398624408860455,0.28262289515532657,-0.003667880585472655
BaselTMA_SP41_14_X1Y8_2604,-0.23520202734275242,0.3839182785930697,0.23633173208203367,-0.029803742986352758
BaselTMA_SP41_186_X5Y4_81,-0.28615487710820353,0.43600835133110283,0.1365480953739421,-0.0149655739165718
