,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP43_115_X4Y8_4631,0.14726825204838934,0.1441031103902238,2.1534952634479112e-07,0.09906381539951728,1.4336880204708134e-05,1.220413005286794e-09,0.6095502687117256
BaselTMA_SP43_115_X4Y8_4632,0.5540392753390165,0.05462498088799303,0.31703440449546394,0.04935389369161239,0.00019670697471977242,8.41945580402448e-11,0.02475073852699988
BaselTMA_SP43_115_X4Y8_4633,0.9965384687346651,0.00098746082478511,1.859762639649029e-05,0.0006308059489608148,9.523744792499309e-07,2.326377471120734e-09,0.0018237121643358142
BaselTMA_SP43_115_X4Y8_4634,0.03284265767245405,0.2823317565157729,3.8782642577543105e-05,0.22561627652631083,1.2476432083335791e-05,5.598749197585568e-12,0.4591580502052025
BaselTMA_SP43_115_X4Y8_4635,1.8038184869850512e-06,7.514833688358413e-05,1.2788188759923565e-10,3.3279133517749345e-05,0.9998084284545137,1.7349182877545285e-07,8.116663688746708e-05
BaselTMA_SP43_115_X4Y8_4636,0.49163484154093967,0.03222546769292858,0.42321413500767874,0.04513571910053986,0.0003460472060778047,2.6934242606184324e-10,0.007443789182492882
BaselTMA_SP43_115_X4Y8_4637,0.011894892265277405,0.0005448454684566583,0.9868891258287749,0.0004289770097052773,2.5043911423384166e-05,9.898847983983488e-12,0.00021711550646333824
BaselTMA_SP43_115_X4Y8_4638,0.03417501436226788,0.22390740274726867,2.706831689401261e-06,0.16919357852513686,7.618581237175074e-06,2.3628994911773554e-11,0.572713678928771
BaselTMA_SP43_115_X4Y8_4639,0.00532574213521392,0.19717800517531703,1.2365327460217784e-06,0.13465262186008378,5.005540156640548e-05,3.004553382957179e-11,0.6627923388650273
BaselTMA_SP43_115_X4Y8_4640,1.0156265237509718e-06,0.00021068845799973671,3.69775865152272e-09,9.730167640434047e-05,0.9995321732982986,6.640547978762785e-08,0.0001587508375351502
BaselTMA_SP43_115_X4Y8_4641,0.7200988736799073,0.08155730429393783,1.2665001080370906e-06,0.08083093247715081,9.777967354096999e-06,5.371238651922262e-10,0.11750184454441791
BaselTMA_SP43_115_X4Y8_4642,0.252312971241621,0.0008563809481740316,0.7458584457968604,0.000675479302444005,1.999815871673849e-05,2.308807417666882e-11,0.0002767245290956134
BaselTMA_SP43_115_X4Y8_4643,0.9916741164290187,0.0018911546171486008,0.0034343290128470367,0.0013232912801364278,7.090828237329036e-06,6.085057229958995e-10,0.0016700172241060991
BaselTMA_SP43_115_X4Y8_4644,6.081444160649159e-06,0.0005713915219122131,2.7646643330474485e-08,0.0004049455753024004,0.9987671098847741,4.514021441623768e-07,0.00024999252506310583
BaselTMA_SP43_115_X4Y8_4645,0.9994941713279829,9.006832701539956e-05,0.000246832673958166,7.570890159752366e-05,2.0553329695413914e-06,5.282001636206333e-08,9.111061645994044e-05
BaselTMA_SP43_115_X4Y8_4646,0.9995115572532435,0.0001565572049821143,7.997680594418897e-05,0.0001392269086412134,6.999784430124878e-07,1.3972222576077726e-09,0.0001119804515237301
BaselTMA_SP43_115_X4Y8_4647,0.0026263875420442333,0.1261780025950353,0.5666231487790019,0.06163977773332287,0.00031935077984412627,7.007563042395701e-12,0.24261333256374404
BaselTMA_SP43_115_X4Y8_4648,0.028854229409707235,0.2356974916648947,8.712687203284196e-06,0.17916429627469796,0.0001650266788209214,1.9338582615558748e-10,0.5561102430912902
BaselTMA_SP43_115_X4Y8_4649,0.5690862518021899,0.060715851596040156,0.00010842939999040072,0.06242193120715923,0.23762784354159472,2.5083832433083046e-06,0.0700371840697822
BaselTMA_SP43_115_X4Y8_4650,0.9983434275409366,0.0005082901163414826,2.0578380405608715e-07,0.00041914977007814254,3.1860641831009156e-07,1.155870682270583e-09,0.0007286070265508938
BaselTMA_SP43_115_X4Y8_4651,1.829239469708294e-08,3.263829806960357e-08,4.270549412732388e-10,5.254989181551139e-09,0.007515774091928293,0.9924841541954209,1.5099913882758387e-08
BaselTMA_SP43_115_X4Y8_4652,1.0974824697143085e-06,0.00012139649455825981,2.0675570558020493e-08,6.331043402748663e-05,0.9997779677908815,3.5447608275835877e-06,3.266236166486523e-05
BaselTMA_SP43_115_X4Y8_4653,1.512613482219746e-06,3.554874309011354e-05,8.026311583876581e-09,1.0491367630802406e-05,0.9943278297337821,0.0056093307435533795,1.5278772149989793e-05
BaselTMA_SP43_115_X4Y8_4654,0.09459008008404417,0.18496952051941648,2.5204033489482398e-05,0.13041945541115965,3.0358134856569298e-05,1.1403733431612567e-09,0.5899653806766605
BaselTMA_SP43_115_X4Y8_4655,0.9700832387239922,0.008396044753114224,0.003285596711347789,0.007068091328117828,0.002850973865269027,1.8338228144916218e-07,0.008315871235877514
BaselTMA_SP43_115_X4Y8_4656,4.084368352485923e-06,0.0007171130198538425,5.628220374541315e-08,0.0004616794810980771,0.9983756241385747,6.815597713092644e-08,0.0004413745539400847
BaselTMA_SP43_115_X4Y8_4657,0.0012683780105257182,8.910462601386295e-05,0.9985427085685331,7.292452543923934e-05,4.612931849284183e-06,1.4142638525534473e-13,2.2271337497445634e-05
BaselTMA_SP43_115_X4Y8_4658,0.0001748171963756087,0.22864828542749116,8.041101752146452e-06,0.26202181472268515,0.11741427722947864,7.544813748991273e-09,0.3917327567774036
BaselTMA_SP43_115_X4Y8_4659,0.1604149178665628,0.1677051087761539,3.877497379031966e-06,0.21142903375415045,0.0003118757558086182,1.2752294011729706e-06,0.4601339111205441
BaselTMA_SP43_115_X4Y8_4660,0.995636965353652,0.000495818358946904,0.0028954271144511915,0.0005397801499768385,3.159443716924513e-05,5.370804938309769e-07,0.0003998775053099392
BaselTMA_SP43_115_X4Y8_4661,0.9868539275368576,0.003783442771395709,3.8053944161298734e-07,0.003190873047383187,5.958771954670603e-06,4.332289217994169e-09,0.006165413000677868
BaselTMA_SP43_115_X4Y8_4662,0.999791143741386,6.993077190131627e-05,5.417575113270059e-06,6.131290982268152e-05,1.4000118756051275e-06,2.069600341940754e-08,7.07742938974399e-05
BaselTMA_SP43_115_X4Y8_4663,0.8156850495392124,0.05858934242917636,2.033195073058531e-06,0.05577920702649807,4.238808994811853e-05,5.892892500342529e-10,0.06990197913080286
BaselTMA_SP43_115_X4Y8_4664,0.996377029268595,0.0006181308091215865,0.002118431602799673,0.0006449314913667547,3.74212710512323e-06,2.870605334006721e-10,0.00023773441395140272
BaselTMA_SP43_115_X4Y8_4665,0.9967649712662685,0.0009367888301217789,9.085117594650196e-08,0.0006296719645727402,1.2386246186399912e-06,5.917994471908935e-10,0.0016672378714429306
BaselTMA_SP43_115_X4Y8_4666,0.02026215105132584,0.25612593782630827,0.003998661650695789,0.22858656538864958,0.0004904763223743478,3.6316577721595254e-09,0.49053620412898835
BaselTMA_SP43_115_X4Y8_4667,0.9954062356120508,0.0012300026936303027,1.9004217671861075e-06,0.0010189259419229606,1.0119637256405331e-06,1.689094012912249e-08,0.0023419064759630593
BaselTMA_SP43_115_X4Y8_4668,1.2882337294218799e-06,7.470618305280288e-06,1.411667305765698e-09,1.678487952716851e-06,0.9600606220838279,0.03992436244266337,4.576721854019231e-06
BaselTMA_SP43_115_X4Y8_4669,0.09814465051172978,0.005055875282616826,0.8885266094850857,0.002491316676135647,6.756516655205815e-05,1.0434979423401063e-10,0.005713982773530357
BaselTMA_SP43_115_X4Y8_4670,0.00019682840535598532,0.27854915598543456,0.0004776658412780621,0.3884290803445114,0.03602141885424948,9.48112037951175e-10,0.2963258496210585
BaselTMA_SP43_115_X4Y8_4671,0.9891374809143382,0.00331239666364406,3.67834645048257e-07,0.005358749899532447,5.444801810223905e-06,1.1051546797573063e-08,0.002185548834483171
BaselTMA_SP43_115_X4Y8_4672,0.3247388613701923,0.13740753106880102,2.8220113200618414e-07,0.08848936684628023,5.6616698732979945e-05,7.768952703370075e-10,0.4493073410379661
BaselTMA_SP43_115_X4Y8_4673,6.326710638328657e-06,0.001092006810838563,3.669483078039626e-08,0.0010662302687473686,0.9973907997751049,4.9781222856254895e-09,0.0004445947617176862
BaselTMA_SP43_115_X4Y8_4674,0.9911056487487754,0.0026447194404479214,1.2280448779559925e-06,0.0022400828418705325,6.250992815746785e-07,1.1050022616968863e-09,0.0040076947197444195
BaselTMA_SP43_115_X4Y8_4675,6.141714565133015e-08,9.009637655396658e-06,6.93311774939749e-09,3.036288306617842e-06,0.9999843707698666,1.7185715048455768e-06,1.7963824032333026e-06
BaselTMA_SP43_115_X4Y8_4676,0.9939298277444172,0.002033903589470297,0.0006169941837536999,0.0019602397133940135,7.599753206091909e-06,2.3573119070221374e-09,0.0014514326584469375
